49	99	28	32	12	4	95	48	8	91	57	14	80	71	81	47	53	83	80	20	9	41	62	73	31	54	73	4	36	73	71	96	69	64	48	52	88	1	71	44	13	90	13	44	14	17	96	92	94	87	83	28	31	72	23	78	62	38	9	41	52	59	95	88	96	75	2	20	16	87	86	91	43	73	1	16	52	76	62	65	40	30	85	99	42	73	21	32	16	16	18	65	46	89	5	47	7	56	46	6	56	29	80	86	81	35	65	66	83	9	40	70	56	99	28	28	38	46	95	59	51	60	89	57	3	26	96	72	16	24	32	12	94	17	80	27	43	65	39	81	78	4	98	71	96	55	3	16	48	29	7	20	84	48	69	89	30	4	41	90	37	66	85	47	81	58	79	96	76	90	25	55	38	9	15	84	18	64	98	75	52	84	3	37	92	83	18	68	19	29	96	52	48	91	60	54	91	63	57	15	
30	18	26	81	54	55	25	22	72	86	14	88	81	77	24	56	61	70	56	35	32	62	73	83	79	94	37	66	56	49	58	90	92	58	83	42	71	60	42	44	88	87	90	8	12	1	5	8	20	79	95	6	22	59	92	36	76	20	76	95	93	16	42	16	22	41	46	92	1	58	27	26	32	2	98	63	36	37	72	49	82	50	32	41	16	88	4	95	33	96	22	69	62	5	20	77	0	44	65	79	95	19	95	32	54	16	6	8	30	39	83	91	37	49	26	43	27	69	46	57	40	70	62	43	98	78	61	69	50	22	88	21	81	89	8	42	65	79	7	28	41	36	3	35	35	39	90	92	58	70	14	73	15	71	89	17	25	80	97	93	88	19	21	60	80	42	96	96	44	95	96	38	38	88	44	31	59	97	58	54	10	43	15	83	81	2	65	9	28	14	96	28	70	0	38	68	4	12	32	35	
93	66	5	31	12	70	25	33	68	77	16	23	66	7	51	55	45	79	52	49	63	14	65	89	24	76	22	51	40	64	40	22	95	43	99	87	48	0	96	44	24	59	76	91	80	76	56	97	25	3	65	37	77	15	2	58	11	80	34	83	53	58	23	92	93	3	84	14	58	93	35	0	45	2	40	64	52	24	87	50	0	10	65	47	63	28	9	38	57	67	24	40	86	66	11	39	73	96	7	47	13	32	67	49	17	2	74	24	3	13	68	88	50	6	27	69	40	19	98	38	15	81	74	40	12	52	66	47	42	30	73	55	57	91	48	59	27	20	13	11	81	41	74	1	31	9	27	79	41	78	79	96	13	39	79	93	2	63	93	78	84	48	92	81	63	28	61	83	98	79	26	70	65	57	27	96	6	91	33	7	93	2	66	2	55	17	56	83	85	69	36	81	59	70	71	90	7	96	51	91	
8	7	75	9	15	9	77	17	33	35	29	91	57	20	37	86	26	37	40	15	20	64	2	45	71	65	38	18	4	51	6	17	48	97	70	28	60	85	57	36	7	13	24	3	52	74	49	46	52	73	63	69	80	26	36	73	76	28	33	17	58	49	70	28	22	1	14	34	32	61	6	69	52	58	86	81	43	49	65	85	54	77	81	45	68	77	26	9	30	7	97	2	19	78	75	88	78	97	64	32	30	29	82	65	64	5	49	87	13	49	80	51	13	12	15	42	65	66	92	21	53	83	93	42	44	30	84	69	48	7	67	54	51	25	27	55	75	39	7	61	99	85	5	77	27	66	36	93	67	42	30	1	97	23	38	60	39	61	14	92	0	7	3	51	38	60	82	31	53	63	27	40	5	59	65	25	30	24	88	42	25	83	15	65	78	20	58	21	44	90	69	11	50	96	32	44	28	88	63	52	
98	5	57	0	42	38	92	25	4	1	95	0	55	10	72	70	44	89	35	81	30	43	93	92	58	86	79	24	12	7	13	65	35	70	82	49	86	1	82	36	95	58	94	12	38	71	69	35	99	3	56	23	26	19	98	74	4	18	63	64	99	90	82	27	6	53	96	78	22	66	54	38	85	18	12	5	74	9	90	68	75	29	42	52	80	5	3	33	72	7	36	80	12	62	84	99	44	23	74	44	34	31	29	87	64	5	18	88	58	74	15	57	12	67	72	92	2	42	49	13	54	18	6	56	48	21	76	6	65	51	77	87	5	61	39	23	46	8	30	33	43	97	27	70	7	30	98	14	11	50	28	31	2	26	62	59	98	12	61	3	29	69	3	38	64	80	16	26	53	46	74	16	20	21	3	63	58	77	52	39	85	65	84	77	24	43	3	86	43	27	21	98	73	18	43	14	66	48	27	33	
80	3	61	32	37	91	3	89	86	88	39	71	44	15	28	9	12	86	1	40	63	82	18	55	63	66	29	38	92	73	26	91	30	0	20	26	0	92	87	30	84	92	74	89	17	60	33	81	6	70	21	26	65	92	85	58	24	43	9	23	81	31	87	32	45	5	93	89	42	10	22	76	2	97	17	78	92	52	83	59	7	23	82	52	25	95	62	7	73	31	92	57	30	26	79	44	80	73	38	26	86	78	89	18	77	49	76	82	60	59	98	47	29	42	72	26	60	18	4	27	40	2	89	60	62	70	13	79	43	52	87	41	82	16	56	0	26	23	88	24	37	97	90	11	25	27	55	23	46	80	61	49	11	87	57	99	26	38	31	93	73	10	74	93	18	24	51	75	87	8	48	53	88	81	58	52	75	25	20	47	18	67	75	68	12	42	46	10	17	56	55	11	88	72	13	63	75	90	29	77	
38	62	16	33	5	81	91	59	96	84	94	56	41	57	87	22	12	84	58	47	28	54	50	11	59	22	91	47	88	14	64	52	45	45	41	63	15	3	1	99	94	60	25	84	82	87	57	35	48	24	97	72	59	57	36	3	10	75	69	12	26	55	34	30	6	47	30	32	75	76	52	12	67	15	2	72	70	77	80	29	55	70	77	78	57	94	49	66	5	75	37	72	1	87	92	37	55	35	75	88	56	56	3	78	73	46	72	15	52	23	73	81	44	43	36	52	42	79	92	80	96	34	45	84	4	8	86	88	30	74	44	82	63	83	55	93	74	35	51	94	81	25	69	20	21	38	53	23	87	85	34	22	15	25	73	55	91	56	43	99	41	22	34	91	79	73	88	13	76	81	47	89	76	11	9	57	8	76	12	51	92	24	83	98	70	96	19	79	15	81	16	67	50	87	4	62	17	50	2	63	
49	17	5	19	22	97	44	8	43	68	34	47	52	67	59	46	49	50	61	32	24	32	49	38	64	67	98	85	88	58	85	14	51	54	80	17	26	14	76	93	53	95	38	36	83	32	57	81	68	91	94	92	53	97	46	6	15	77	73	25	73	29	40	57	72	36	76	35	5	60	11	4	42	52	28	2	99	50	98	86	15	40	71	65	35	36	67	54	38	54	48	13	60	10	96	30	91	12	62	76	18	1	87	62	1	35	29	16	21	16	14	76	74	16	10	51	49	1	63	62	59	44	55	63	32	27	29	17	91	49	45	61	46	67	92	53	44	61	63	19	56	44	41	96	10	71	45	3	44	36	95	26	81	3	86	60	45	70	99	88	58	44	49	21	5	52	48	99	50	25	40	19	57	24	19	75	37	74	19	29	43	1	63	74	0	26	14	83	28	37	5	52	11	12	22	86	62	93	57	31	
95	48	12	39	39	38	67	94	80	64	33	85	27	35	87	59	4	53	22	42	77	14	77	18	29	54	5	74	30	6	0	89	43	41	45	0	95	4	34	35	79	78	70	10	59	60	2	87	97	25	58	46	87	70	65	69	26	44	45	93	72	11	89	61	54	84	93	38	16	7	28	12	55	31	18	21	60	46	90	32	75	5	51	90	10	29	2	61	41	69	94	53	84	56	4	7	20	6	27	52	84	39	45	72	74	24	53	22	5	23	77	33	62	69	91	76	72	43	47	34	42	63	28	19	75	25	44	48	77	90	60	63	3	28	53	76	69	12	36	80	11	81	47	22	50	26	25	85	90	84	42	28	57	6	36	38	93	57	82	79	17	16	90	27	42	85	35	14	1	51	14	32	78	81	26	92	99	7	74	16	62	47	17	79	90	26	25	0	85	98	2	55	44	45	75	7	4	40	40	83	
76	94	35	45	53	23	56	81	53	21	8	94	20	74	57	76	41	44	20	78	4	3	0	98	30	25	35	76	22	84	28	16	32	8	19	57	72	71	59	83	96	55	98	63	31	24	94	14	6	39	99	8	17	23	36	16	63	99	80	54	76	0	98	8	95	77	99	65	40	85	89	28	84	10	64	90	16	24	99	49	57	8	44	29	85	59	77	63	43	35	80	44	29	74	40	43	19	38	98	24	25	65	70	62	77	57	18	4	87	32	73	77	34	78	70	26	7	80	48	44	18	98	38	79	98	16	16	97	94	15	49	52	46	94	28	4	27	68	41	13	38	98	20	70	5	78	62	86	92	64	29	24	25	59	19	38	90	27	91	6	54	98	38	66	43	98	45	38	27	60	8	24	40	11	32	84	78	15	58	6	80	64	60	14	10	26	37	26	61	23	21	63	22	58	91	89	62	43	70	89	
