80	1	36	0	92	55	37	41	83	56	4	69	98	98	1	95	43	46	31	33	87	28	72	71	46	15	99	30	46	23	49	20	23	73	77	34	39	38	23	22	65	1	99	2	83	91	39	13	17	12	9	45	26	40	50	19	19	3	0	68	31	79	30	16	73	88	93	53	34	87	88	10	90	24	30	30	66	61	21	72	80	65	35	88	6	58	56	16	66	20	50	74	11	94	65	11	74	54	95	33	
20	56	20	4	91	7	76	7	9	26	46	7	24	19	85	90	72	83	99	90	99	58	41	27	22	56	33	75	78	13	79	33	6	10	99	14	69	50	33	93	80	0	51	22	45	74	76	30	99	23	22	97	81	74	85	60	31	19	84	54	9	20	57	78	31	5	9	0	66	96	90	1	20	56	36	49	43	89	51	9	84	94	35	69	82	43	67	44	23	62	44	54	39	88	58	72	40	56	85	96	
11	89	86	51	40	50	0	12	90	52	79	54	98	43	84	63	49	77	10	81	81	69	26	81	64	35	69	58	9	81	28	55	89	98	85	99	45	51	45	0	98	28	70	46	45	24	22	21	42	25	35	80	94	39	90	22	16	61	6	45	45	3	62	90	30	30	16	40	95	37	89	39	7	84	18	57	27	92	16	57	93	11	68	20	85	93	55	13	75	8	46	56	28	53	74	8	0	2	65	15	
81	24	89	3	57	88	34	42	86	10	8	54	58	93	35	43	51	72	59	22	77	15	8	69	59	81	30	13	25	41	34	55	7	90	37	91	96	17	71	70	34	24	12	76	61	6	27	62	23	90	68	66	14	35	48	37	82	1	24	97	47	27	99	22	75	62	96	3	28	15	0	9	24	44	1	39	70	27	81	80	42	68	39	72	87	74	42	15	92	62	5	96	52	37	38	89	66	51	91	39	
78	32	53	62	99	83	7	11	22	78	88	7	3	30	31	91	86	28	87	89	54	88	49	87	22	70	65	67	38	67	59	95	52	47	90	54	36	41	86	13	35	2	24	32	67	76	66	61	48	32	42	36	59	3	87	44	76	18	19	70	79	52	1	32	75	33	28	61	63	50	57	87	46	68	45	14	42	10	94	1	29	74	87	24	32	79	97	49	65	26	73	39	48	72	36	24	71	36	26	38	
31	90	10	51	11	11	16	3	23	60	96	28	38	22	71	96	88	52	1	45	75	50	34	77	94	57	15	9	9	43	96	18	0	69	79	72	26	48	3	48	10	93	8	32	5	98	69	49	0	78	48	60	69	97	82	17	68	56	41	58	95	35	38	25	83	3	88	14	96	66	45	84	96	79	21	42	16	75	97	78	35	9	49	6	99	71	37	51	31	53	71	27	51	71	17	66	64	31	11	42	
35	97	79	88	1	89	57	99	65	83	27	96	78	84	14	64	1	88	7	66	95	76	60	61	7	28	76	6	46	75	62	90	24	78	75	44	96	94	18	54	77	21	48	43	16	17	37	40	58	61	85	80	26	81	86	94	49	33	11	5	1	25	30	64	28	24	92	51	86	71	57	83	9	26	95	74	50	94	63	44	48	98	10	50	3	68	15	44	83	42	3	38	47	74	23	67	85	44	58	95	
10	72	38	42	3	65	64	50	92	53	84	67	14	18	39	47	32	92	60	65	99	84	75	30	61	91	33	42	56	73	78	77	9	29	52	12	89	22	51	7	8	88	59	53	60	85	23	9	53	95	65	7	43	18	15	33	30	70	7	91	46	3	50	44	10	15	80	95	26	62	69	5	25	80	78	34	30	99	94	88	87	7	42	5	1	77	3	2	87	40	75	78	17	19	21	78	82	71	3	13	
33	41	49	71	17	57	47	10	56	29	20	50	26	74	30	32	39	84	76	70	87	41	35	25	47	85	44	83	0	84	66	36	48	77	8	89	53	71	15	41	42	27	5	5	53	2	11	18	51	19	25	84	7	1	79	74	30	43	33	93	89	85	0	82	82	49	56	57	40	10	21	72	8	36	14	93	96	8	35	72	72	51	54	17	54	96	25	83	96	7	63	74	24	14	23	27	54	30	83	97	
6	33	83	86	86	0	94	4	1	80	19	71	26	91	52	5	38	53	11	82	56	69	62	74	10	22	21	57	26	2	8	33	60	82	99	39	16	60	14	40	93	30	46	90	68	72	30	64	35	90	79	2	37	92	14	7	59	15	44	17	45	72	24	39	58	64	66	11	43	79	4	85	66	42	37	61	96	45	88	69	6	41	99	91	65	92	48	7	6	91	84	56	79	45	66	33	51	14	92	98	
